Postcode, Number of PNs , Face Value ($) 
2456," 1,102 "," 296,253 "
2152," 1,096 "," 264,255 "
2222," 1,094 "," 264,511 "
2158," 1,093 "," 286,800 "
2758," 1,086 "," 304,748 "
2333," 1,073 "," 315,600 "
2515," 1,068 "," 238,149 "
2085," 1,067 "," 236,598 "
2264," 1,064 "," 282,154 "
2428," 1,052 "," 282,231 "
2289," 1,042 "," 249,098 "
2533," 1,029 "," 264,744 "
2576," 1,024 "," 266,903 "
2226," 1,021 "," 242,398 "
2291," 1,018 "," 256,653 "
2517," 1,011 "," 243,911 "
2577," 1,005 "," 260,284 "
2119," 1,004 "," 244,738 "
2539," 1,003 "," 258,046 "
2300, 999 ," 254,964 "
2049, 999 ," 216,147 "
2256, 991 ," 241,289 "
2525, 980 ," 249,858 "
2794, 979 ," 259,013 "
2640, 977 ," 240,614 "
2282, 975 ," 271,345 "
2038, 968 ," 201,447 "
2008, 955 ," 214,510 "
2483, 950 ," 232,326 "
2557, 949 ," 281,211 "
2143, 949 ," 281,687 "
2304, 949 ," 265,633 "
2132, 928 ," 205,186 "
2136, 927 ," 253,175 "
2072, 919 ," 268,701 "
2705, 908 ," 215,563 "
2028, 883 ," 219,737 "
2870, 865 ," 228,781 "
2769, 865 ," 216,401 "
2452, 863 ," 227,840 "
2315, 855 ," 245,033 "
2092, 852 ," 178,750 "
2044, 839 ," 218,020 "
2508, 831 ," 198,123 "
2318, 826 ," 233,684 "
2102, 813 ," 193,959 "
2536, 796 ," 230,110 "
2050, 790 ," 172,562 "
2179, 781 ," 238,523 "
2299, 763 ," 205,093 "
2064, 762 ," 224,187 "
2167, 761 ," 207,783 "
2007, 757 ," 180,043 "
2486, 755 ," 215,662 "
2305, 740 ," 190,960 "
2448, 738 ," 176,317 "
2871, 726 ," 187,091 "
2446, 706 ," 195,376 "
2045, 706 ," 155,126 "
2043, 703 ," 147,373 "
2191, 701 ," 174,279 "
2782, 682 ," 177,957 "
2062, 673 ," 148,018 "
2482, 665 ," 154,038 "
2484, 659 ," 175,708 "
2479, 657 ," 153,743 "
2470, 652 ," 172,300 "
2454, 646 ," 169,095 "
2116, 637 ," 162,731 "
2506, 630 ," 177,651 "
2303, 630 ," 162,730 "
2061, 625 ," 160,848 "
2380, 624 ," 162,961 "
2327, 622 ," 176,421 "
2594, 613 ," 180,489 "
2284, 610 ," 165,544 "
2754, 608 ," 172,405 "
2063, 602 ," 159,573 "
2094, 601 ," 131,616 "
2130, 600 ," 133,776 "
2360, 597 ," 168,512 "
2773, 589 ," 139,407 "
2326, 588 ," 174,636 "
2048, 585 ," 121,525 "
2574, 581 ," 157,470 "
2785, 577 ," 122,025 "
2298, 571 ," 154,651 "
2516, 568 ," 135,113 "
2820, 567 ," 153,263 "
2159, 562 ," 141,026 "
2400, 544 ," 159,480 "
2337, 541 ," 152,687 "
2752, 539 ," 158,990 "
2880, 537 ," 165,277 "
2447, 522 ," 139,881 "
2178, 519 ," 183,930 "
2477, 518 ," 140,080 "
2079, 507 ," 123,971 "
2157, 503 ," 134,364 "
2537, 498 ," 145,885 "
2335, 491 ," 134,690 "
2535, 490 ," 132,518 "
2225, 488 ," 121,803 "
2582, 480 ," 132,883 "
2779, 474 ," 128,158 "
2258, 470 ," 117,454 "
2443, 461 ," 130,298 "
2550, 461 ," 132,615 "
2573, 457 ," 119,148 "
2084, 456 ," 140,932 "
2762, 445 ," 121,632 "
2776, 441 ," 111,113 "
2787, 439 ," 96,385 "
2265, 438 ," 119,982 "
2128, 438 ," 178,329 "
2505, 437 ," 114,623 "
2081, 432 ," 106,665 "
2572, 426 ," 104,249 "
2799, 420 ," 106,885 "
2390, 419 ," 115,601 "
2082, 416 ," 103,788 "
2534, 411 ," 104,489 "
2429, 411 ," 109,877 "
2641, 407 ," 104,164 "
2214, 402 ," 121,704 "
2319, 399 ," 106,873 "
2487, 396 ," 101,573 "
2441, 394 ," 101,014 "
2316, 392 ," 105,109 "
2295, 386 ," 106,525 "
